id,last_login,total_purchases,total_time_spent,number_of_posts,likes_given,payment_method
U355,1/13/2023,13.0,,56.0,949.0,PayPal
U3247,1/7/2023,10.0,9.37,22.0,159.0,Credit Card
U2170,6/23/2023,21.0,113.84,734.0,4438.0,Bank Transfer
U2123,10/14/2023,10.0,41.64,120.0,4047.0,Crypto
U1197,10/17/2023,14.0,73.46,259.0,3371.0,PayPal
U2811,1/13/2023,21.0,409.21,606.0,4554.0,Crypto
U1790,7/28/2023,1.0,145.54,253.0,2803.0,Credit Card
U795,4/20/2023,31.0,399.21,583.0,4680.0,Crypto
U1659,8/7/2023,16.0,97.83,902.0,1068.0,Bank Transfer
U1224,4/18/2023,47.0,375.51,918.0,3497.0,Bank Transfer
U927,3/13/2023,37.0,423.26,857.0,2242.0,Credit Card
U702,6/24/2023,26.0,449.45,958.0,3848.0,Credit Card
U3090,7/18/2023,43.0,41.64,979.0,4142.0,Bank Transfer
U517,1/14/2023,6.0,154.82,167.0,2884.0,Bank Transfer
U680,10/7/2023,4.0,407.96,570.0,4823.0,Bank Transfer
U992,8/15/2023,24.0,244.84,196.0,3368.0,Bank Transfer
U1890,5/3/2023,24.0,426.03,781.0,1447.0,Bank Transfer
U1176,11/1/2023,,405.73,401.0,95.0,PayPal
U911,5/15/2023,2.0,390.31,472.0,1247.0,PayPal
U1073,10/11/2023,18.0,188.44,796.0,1020.0,Credit Card
U540,2/25/2023,42.0,350.87,609.0,1127.0,Crypto
U309,,33.0,413.33,113.0,125.0,PayPal
U3057,2/1/2023,18.0,296.42,714.0,939.0,Bank Transfer
U3135,6/2/2023,44.0,378.56,892.0,3787.0,Bank Transfer
U1774,10/2/2023,28.0,193.41,215.0,1603.0,Crypto
U846,8/23/2023,28.0,95.35,798.0,894.0,Credit Card
U3149,5/11/2023,33.0,11.2,903.0,770.0,Credit Card
U903,7/27/2023,46.0,373.6,821.0,4842.0,Crypto
U2923,5/28/2023,12.0,296.09,754.0,2169.0,PayPal
U345,2/23/2023,20.0,469.52,917.0,2703.0,PayPal
U155,2/26/2023,14.0,340.82,370.0,583.0,Crypto
U608,11/12/2023,1.0,238.75,334.0,4408.0,Crypto
U3281,1/4/2023,23.0,153.52,383.0,4875.0,PayPal
U2855,7/2/2023,0.0,214.24,822.0,1666.0,PayPal
U3019,5/24/2023,5.0,235.28,508.0,2451.0,Bank Transfer
U63,3/10/2023,3.0,87.91,860.0,443.0,Credit Card
U3065,10/18/2023,10.0,208.85,668.0,193.0,PayPal
U1587,9/21/2023,30.0,467.32,821.0,718.0,Crypto
U170,3/5/2023,28.0,409.48,648.0,3283.0,Bank Transfer
U1170,11/29/2023,45.0,192.03,407.0,387.0,Credit Card
U707,8/2/2023,34.0,451.72,244.0,1179.0,PayPal
U817,1/9/2023,29.0,241.63,584.0,3095.0,Credit Card
U1404,11/7/2023,13.0,18.29,441.0,4073.0,PayPal
U1651,4/18/2023,42.0,245.13,801.0,4199.0,PayPal
U1217,6/16/2023,39.0,42.77,213.0,2924.0,Crypto
U68,5/1/2023,45.0,293.01,159.0,4533.0,Crypto
U579,3/4/2023,37.0,3.52,718.0,4846.0,Crypto
U298,5/3/2023,6.0,169.27,361.0,3947.0,Bank Transfer
U3087,2/18/2023,3.0,,612.0,2817.0,PayPal
U880,3/7/2023,20.0,361.92,929.0,2030.0,Crypto
U3016,1/6/2023,50.0,173.25,204.0,293.0,PayPal
U599,2/14/2023,37.0,57.74,766.0,983.0,Credit Card
U1496,7/16/2023,33.0,454.18,415.0,3168.0,Crypto
U1966,4/10/2023,3.0,93.11,668.0,1107.0,Bank Transfer
U2961,5/16/2023,11.0,484.42,160.0,15.0,Credit Card
U3239,3/29/2023,2.0,201.78,900.0,3022.0,Bank Transfer
U1082,9/16/2023,43.0,67.89,950.0,4996.0,Credit Card
U1014,9/1/2023,38.0,152.57,250.0,4631.0,Credit Card
U536,11/10/2023,49.0,130.83,838.0,1769.0,Crypto
U692,5/6/2023,24.0,214.02,478.0,1617.0,Crypto
U558,7/18/2023,38.0,37.09,178.0,147.0,Credit Card
U209,9/3/2023,19.0,445.37,174.0,2454.0,Crypto
U3118,9/23/2023,30.0,147.36,610.0,4667.0,Bank Transfer
U2039,8/6/2023,1.0,481.88,516.0,2314.0,Crypto
U1831,2/24/2023,39.0,491.34,753.0,1473.0,Credit Card
U25,10/11/2023,7.0,423.53,553.0,4004.0,Bank Transfer
U454,10/8/2023,27.0,263.53,546.0,4314.0,Crypto
U303,10/11/2023,28.0,202.65,634.0,1589.0,PayPal
U1591,9/4/2023,41.0,466.66,205.0,4623.0,Bank Transfer
U721,7/15/2023,44.0,138.69,445.0,2180.0,Credit Card
U3099,9/3/2023,25.0,132.87,319.0,367.0,Credit Card
U1683,3/15/2023,,264.3,909.0,591.0,Crypto
U1036,10/16/2023,20.0,276.29,121.0,3249.0,Crypto
U2918,8/11/2023,1.0,446.1,603.0,3536.0,Credit Card
U152,6/15/2023,14.0,333.74,390.0,4573.0,Credit Card
U2872,8/27/2023,9.0,107.47,732.0,4229.0,PayPal
U3020,6/26/2023,45.0,108.04,874.0,3477.0,Credit Card
U375,8/13/2023,11.0,473.76,623.0,4792.0,Bank Transfer
U1414,7/6/2023,43.0,20.24,907.0,2434.0,Credit Card
U3325,8/22/2023,50.0,492.16,889.0,4652.0,Credit Card
U961,5/13/2023,9.0,23.18,830.0,3874.0,Bank Transfer
U2085,10/6/2023,16.0,93.72,507.0,2551.0,Credit Card
U621,1/29/2023,3.0,92.01,372.0,4548.0,PayPal
U267,3/8/2023,22.0,290.15,743.0,1682.0,Bank Transfer
U2975,8/22/2023,24.0,28.76,806.0,3614.0,PayPal
U1348,9/20/2023,31.0,398.35,573.0,932.0,PayPal
U1887,9/2/2023,45.0,41.14,480.0,1387.0,PayPal
U30,8/29/2023,19.0,113.36,431.0,2266.0,Bank Transfer
U1840,6/11/2023,15.0,163.37,467.0,3566.0,Crypto
U933,7/3/2023,23.0,49.85,395.0,1091.0,Credit Card
U3130,3/20/2023,50.0,120.12,257.0,4.0,PayPal
U904,11/14/2023,45.0,154.43,370.0,1670.0,PayPal
U31,1/23/2023,15.0,36.62,473.0,707.0,PayPal
U3163,11/2/2023,23.0,449.45,589.0,2710.0,PayPal
U1048,11/14/2023,38.0,275.51,165.0,817.0,Bank Transfer
U2018,4/23/2023,23.0,151.76,896.0,3119.0,PayPal
U2911,10/3/2023,32.0,87.92,492.0,707.0,Crypto
U214,3/17/2023,50.0,277.34,504.0,3579.0,Credit Card
U588,4/13/2023,30.0,142.37,504.0,2278.0,Bank Transfer
U1614,3/1/2023,3.0,147.34,767.0,4478.0,Crypto
U2131,7/12/2023,5.0,206.23,501.0,111.0,Bank Transfer
U869,2/5/2023,11.0,470.21,314.0,189.0,Credit Card
U3121,11/12/2023,35.0,477.0,515.0,1844.0,PayPal
U2026,1/2/2023,42.0,2.47,489.0,1626.0,PayPal
U409,6/27/2023,1.0,339.77,104.0,2129.0,Bank Transfer
U792,1/13/2023,49.0,177.94,517.0,330.0,Credit Card
U1530,9/25/2023,24.0,162.26,15.0,1732.0,PayPal
U20,8/10/2023,45.0,121.12,635.0,4957.0,Crypto
U2055,11/25/2023,15.0,378.24,309.0,4408.0,Crypto
U3361,2/1/2023,4.0,125.71,931.0,3.0,PayPal
U685,9/25/2023,41.0,405.76,311.0,3071.0,PayPal
U2180,1/24/2023,10.0,227.27,664.0,2290.0,PayPal
U487,4/1/2023,18.0,426.43,588.0,2602.0,PayPal
U3220,10/2/2023,33.0,78.75,542.0,3287.0,Bank Transfer
U1737,10/16/2023,15.0,47.71,112.0,501.0,Bank Transfer
U2856,7/19/2023,44.0,2.47,113.0,4783.0,Crypto
U3093,8/12/2023,5.0,395.59,577.0,776.0,Crypto
U691,10/3/2023,39.0,290.63,448.0,3447.0,Bank Transfer
U167,1/14/2023,26.0,190.05,156.0,4222.0,PayPal
U195,8/1/2023,3.0,311.95,567.0,1633.0,Crypto
U2942,5/6/2023,12.0,295.22,557.0,3943.0,PayPal
U3046,10/16/2023,16.0,229.8,290.0,1945.0,Credit Card
U3235,7/5/2023,25.0,242.0,646.0,4475.0,Credit Card
U1505,9/26/2023,6.0,403.06,269.0,553.0,PayPal
U1699,10/31/2023,30.0,276.4,427.0,1977.0,Credit Card
U1109,7/1/2023,23.0,113.01,95.0,439.0,PayPal
U1066,1/22/2023,40.0,307.45,165.0,2854.0,Crypto
U196,6/10/2023,21.0,291.15,356.0,1379.0,Credit Card
U3139,3/12/2023,41.0,248.92,769.0,3772.0,Crypto
U3098,5/26/2023,19.0,421.93,577.0,3258.0,PayPal
U2127,2/12/2023,42.0,51.57,154.0,2886.0,PayPal
U3224,6/13/2023,43.0,407.64,389.0,4580.0,PayPal
U1215,9/27/2023,4.0,170.85,557.0,2504.0,Credit Card
U1144,3/19/2023,43.0,113.84,847.0,1985.0,Crypto
U2898,3/8/2023,23.0,386.31,158.0,2330.0,Bank Transfer
U3056,6/8/2023,13.0,185.99,574.0,1906.0,Crypto
U3043,1/4/2023,17.0,327.91,451.0,3980.0,Bank Transfer
U689,11/16/2023,9.0,444.25,703.0,1285.0,Bank Transfer
U509,4/17/2023,50.0,90.91,580.0,4105.0,Crypto
U632,10/4/2023,3.0,106.12,967.0,1590.0,Bank Transfer
U1735,8/8/2023,38.0,321.56,583.0,4341.0,PayPal
U839,1/24/2023,13.0,333.75,789.0,469.0,PayPal
U1400,1/8/2023,3.0,102.82,592.0,1463.0,PayPal
U377,1/19/2023,17.0,323.12,927.0,75.0,PayPal
U1814,8/5/2023,23.0,345.26,537.0,1769.0,PayPal
U1842,11/30/2023,7.0,343.7,45.0,207.0,Crypto
U826,1/31/2023,12.0,62.31,543.0,74.0,PayPal
U1203,11/3/2023,17.0,393.07,421.0,2855.0,PayPal
U970,9/28/2023,31.0,129.71,163.0,3951.0,Crypto
U3137,2/10/2023,41.0,,932.0,3155.0,Credit Card
U3034,4/17/2023,9.0,31.23,826.0,4037.0,Crypto
U3208,8/13/2023,20.0,75.39,706.0,1996.0,Crypto
U1848,3/29/2023,14.0,27.95,939.0,519.0,PayPal
U217,11/26/2023,8.0,115.67,118.0,3067.0,PayPal
U1859,3/19/2023,24.0,396.9,586.0,3431.0,Bank Transfer
U2124,3/11/2023,2.0,84.73,928.0,1206.0,Crypto
U1782,7/9/2023,2.0,158.7,734.0,3115.0,Bank Transfer
U2964,4/18/2023,0.0,433.98,785.0,555.0,PayPal
U320,1/18/2023,41.0,239.91,197.0,122.0,Credit Card
U359,1/4/2023,3.0,242.68,463.0,295.0,Bank Transfer
U3021,3/19/2023,32.0,492.16,678.0,591.0,Credit Card
U750,11/2/2023,5.0,162.06,691.0,901.0,PayPal
U1633,4/16/2023,37.0,84.78,635.0,2509.0,PayPal
U522,6/29/2023,5.0,136.29,632.0,2474.0,Credit Card
U1681,10/23/2023,47.0,240.34,926.0,2777.0,PayPal
U681,6/5/2023,0.0,416.42,160.0,4200.0,Crypto
U545,2/28/2023,20.0,50.28,850.0,1597.0,Bank Transfer
U559,9/21/2023,9.0,316.1,93.0,952.0,PayPal
U999,2/23/2023,41.0,383.65,273.0,1504.0,PayPal
U1975,9/1/2023,23.0,184.41,74.0,2363.0,Credit Card
U249,1/1/2023,21.0,479.14,219.0,4597.0,Crypto
U854,3/31/2023,36.0,498.74,135.0,2386.0,Crypto
U2073,4/18/2023,45.0,308.15,659.0,4557.0,Credit Card
U907,11/21/2023,48.0,408.99,634.0,3746.0,Credit Card
U111,10/24/2023,16.0,249.09,596.0,2019.0,Credit Card
U1025,10/18/2023,13.0,437.11,903.0,3995.0,Crypto
U709,4/24/2023,8.0,467.02,35.0,209.0,Credit Card
U1269,1/26/2023,19.0,416.6,553.0,2095.0,PayPal
U1394,7/3/2023,50.0,281.04,336.0,2815.0,Credit Card
U1126,1/8/2023,4.0,162.63,769.0,417.0,Credit Card
U279,6/7/2023,22.0,399.4,220.0,3904.0,Credit Card
U1273,9/14/2023,11.0,475.38,620.0,1704.0,Bank Transfer
U192,5/17/2023,46.0,187.28,524.0,1595.0,PayPal
U1981,9/15/2023,42.0,247.81,541.0,552.0,Credit Card
U769,5/11/2023,19.0,459.08,439.0,2114.0,PayPal
U2172,11/27/2023,8.0,409.17,912.0,4010.0,Bank Transfer
U1028,7/12/2023,12.0,178.49,883.0,648.0,Crypto
U73,1/17/2023,3.0,4.71,60.0,640.0,PayPal
U1454,7/22/2023,43.0,220.72,47.0,794.0,Credit Card
U1812,7/17/2023,2.0,314.86,920.0,372.0,Credit Card
U1218,3/22/2023,37.0,388.34,533.0,4723.0,PayPal
U580,11/16/2023,40.0,487.22,423.0,778.0,Bank Transfer
U2117,9/5/2023,37.0,241.56,568.0,4268.0,PayPal
U14,3/16/2023,50.0,309.53,658.0,3715.0,PayPal
U659,2/20/2023,40.0,167.56,863.0,1301.0,Credit Card
U1701,6/8/2023,13.0,335.58,630.0,2481.0,PayPal
U1267,1/11/2023,14.0,398.25,832.0,2847.0,Bank Transfer
U36,10/24/2023,16.0,212.31,359.0,3740.0,PayPal
U173,4/26/2023,46.0,105.38,270.0,1672.0,Crypto
U2859,9/4/2023,31.0,85.42,384.0,1689.0,PayPal
U879,5/8/2023,30.0,207.24,930.0,3402.0,Credit Card
U1323,7/19/2023,4.0,172.29,354.0,910.0,Crypto
U1381,6/15/2023,24.0,97.56,830.0,751.0,Crypto
U2012,1/21/2023,13.0,93.52,964.0,3203.0,PayPal
U336,3/22/2023,10.0,245.36,991.0,45.0,Bank Transfer
U1584,9/30/2023,29.0,85.05,733.0,1818.0,Bank Transfer
U1396,9/5/2023,25.0,,194.0,3267.0,Crypto
U847,10/25/2023,18.0,98.38,186.0,3709.0,Bank Transfer
U144,11/10/2023,20.0,144.54,536.0,4907.0,Crypto
U1904,8/30/2023,7.0,367.98,15.0,1060.0,Credit Card
U627,7/7/2023,47.0,70.6,831.0,3142.0,Bank Transfer
U3237,8/1/2023,35.0,307.53,701.0,4558.0,Bank Transfer
U2037,7/9/2023,3.0,145.5,158.0,2601.0,Credit Card
U221,6/13/2023,27.0,164.09,358.0,3440.0,Crypto
U1919,8/10/2023,35.0,213.41,145.0,3054.0,PayPal
U3042,11/8/2023,3.0,304.34,950.0,4202.0,Credit Card
U277,9/28/2023,24.0,178.0,868.0,3061.0,Crypto
U2042,11/22/2023,13.0,253.11,140.0,2026.0,Credit Card
U449,5/12/2023,5.0,444.06,557.0,681.0,PayPal
U840,5/12/2023,7.0,100.87,541.0,4416.0,Crypto
U1867,8/29/2023,24.0,129.78,127.0,2981.0,PayPal
U1166,4/27/2023,42.0,160.14,772.0,4118.0,PayPal
U511,8/16/2023,34.0,178.3,216.0,2180.0,Credit Card
U280,11/9/2023,23.0,393.31,590.0,3490.0,Bank Transfer
U3109,8/2/2023,35.0,200.72,467.0,333.0,PayPal
U1753,1/24/2023,38.0,277.99,950.0,3274.0,Crypto
U1263,9/30/2023,12.0,91.58,408.0,4409.0,PayPal
U81,9/23/2023,16.0,113.49,75.0,405.0,Bank Transfer
U3368,7/9/2023,9.0,66.79,125.0,1756.0,PayPal
U1047,5/24/2023,35.0,22.01,566.0,2233.0,PayPal
U1963,6/8/2023,15.0,332.52,490.0,2108.0,Crypto
U3196,4/12/2023,24.0,40.97,8.0,99.0,Crypto
U3256,11/29/2023,3.0,349.49,854.0,4805.0,Bank Transfer
U3227,2/21/2023,2.0,434.09,838.0,4434.0,Crypto
U1116,5/14/2023,40.0,28.17,440.0,571.0,Credit Card
U1991,1/3/2023,2.0,137.41,830.0,1269.0,Credit Card
U2113,6/25/2023,49.0,37.09,280.0,95.0,PayPal
U1838,3/14/2023,32.0,350.41,226.0,2488.0,Crypto
U3036,12/1/2023,29.0,178.3,797.0,1250.0,Bank Transfer
U1968,10/9/2023,7.0,355.53,212.0,2158.0,PayPal
U3381,2/25/2023,10.0,6.76,98.0,4354.0,Crypto
U2804,3/15/2023,30.0,209.43,53.0,551.0,Crypto
U3157,5/12/2023,6.0,482.83,584.0,1233.0,Crypto
U2824,5/28/2023,7.0,5.84,911.0,2519.0,Crypto
U2916,9/14/2023,22.0,318.9,287.0,1359.0,PayPal
U1458,10/2/2023,42.0,49.85,783.0,3042.0,Crypto
U1757,11/3/2023,48.0,,203.0,753.0,Bank Transfer
U1544,2/14/2023,22.0,123.1,83.0,1605.0,Credit Card
U201,2/12/2023,46.0,339.0,497.0,2864.0,Credit Card
U2929,1/28/2023,41.0,239.87,103.0,2312.0,PayPal
U764,8/3/2023,39.0,351.31,987.0,3327.0,Bank Transfer
U241,8/26/2023,49.0,362.03,569.0,2311.0,Bank Transfer
U1440,9/3/2023,26.0,38.01,900.0,2197.0,PayPal
U809,7/31/2023,50.0,136.44,201.0,2992.0,Bank Transfer
U1441,8/16/2023,19.0,375.15,170.0,2568.0,Crypto
U2934,4/17/2023,10.0,18.93,904.0,4112.0,Bank Transfer
U1564,1/27/2023,15.0,300.71,203.0,2306.0,PayPal
U1071,2/5/2023,12.0,198.39,800.0,219.0,PayPal
U3283,3/19/2023,45.0,27.77,389.0,3472.0,PayPal
U337,4/9/2023,9.0,309.08,788.0,3535.0,Credit Card
U3328,7/13/2023,1.0,328.94,918.0,3588.0,Crypto
U577,3/4/2023,14.0,489.44,430.0,224.0,PayPal
U1479,5/9/2023,38.0,100.94,859.0,4109.0,Credit Card
U166,1/28/2023,16.0,17.92,27.0,30.0,PayPal
U1722,5/30/2023,17.0,172.48,808.0,4911.0,Bank Transfer
U1023,6/16/2023,18.0,22.17,64.0,4508.0,Credit Card
U131,3/28/2023,30.0,156.68,370.0,1232.0,PayPal
U924,8/15/2023,42.0,266.13,339.0,1242.0,Bank Transfer
U1180,3/17/2023,28.0,281.66,893.0,1202.0,Crypto
U1257,4/23/2023,20.0,281.66,382.0,3416.0,Bank Transfer
U989,2/5/2023,39.0,90.09,310.0,4902.0,Crypto
U1698,10/7/2023,2.0,443.02,788.0,2575.0,Crypto
U139,9/1/2023,0.0,19.57,147.0,2063.0,Bank Transfer
U1128,5/25/2023,29.0,468.9,554.0,4144.0,Credit Card
U1102,6/22/2023,33.0,278.95,57.0,3617.0,Credit Card
U1081,10/30/2023,39.0,247.36,814.0,4637.0,Crypto
U1226,1/14/2023,15.0,201.78,293.0,556.0,Bank Transfer
U3104,7/17/2023,10.0,319.0,742.0,1128.0,Crypto
U3250,9/8/2023,40.0,63.92,311.0,3483.0,Bank Transfer
U1274,8/16/2023,50.0,290.47,357.0,553.0,Crypto
U3086,7/1/2023,21.0,467.55,463.0,2438.0,Credit Card
U1578,4/22/2023,17.0,382.53,156.0,4848.0,Credit Card
U1362,11/29/2023,15.0,401.42,510.0,1806.0,Credit Card
U253,4/22/2023,17.0,394.8,467.0,113.0,PayPal
U672,8/25/2023,38.0,9.86,883.0,3903.0,Crypto
U918,7/23/2023,31.0,354.26,589.0,1256.0,Credit Card
U237,3/28/2023,33.0,400.35,95.0,963.0,PayPal
U3003,11/15/2023,38.0,425.44,582.0,3161.0,PayPal
U1210,3/15/2023,9.0,59.56,927.0,592.0,PayPal
U143,4/11/2023,43.0,97.32,901.0,1609.0,PayPal
U2939,6/7/2023,12.0,331.6,94.0,2247.0,Crypto
U1802,2/7/2023,1.0,118.63,944.0,153.0,PayPal
U293,1/18/2023,31.0,396.41,879.0,306.0,Crypto
U583,4/10/2023,22.0,277.39,900.0,231.0,Crypto
U22,2/27/2023,31.0,325.35,151.0,740.0,PayPal
U3155,11/4/2023,3.0,259.68,584.0,2235.0,Credit Card
U3197,6/8/2023,29.0,418.55,526.0,4869.0,Credit Card
U2932,5/11/2023,12.0,387.55,487.0,2622.0,Crypto
U727,1/13/2023,19.0,422.52,945.0,4001.0,Crypto
U3221,6/5/2023,30.0,255.3,85.0,2930.0,Credit Card
U1332,10/19/2023,5.0,266.4,149.0,582.0,PayPal
U1407,5/27/2023,45.0,68.69,22.0,2227.0,Bank Transfer
U2027,1/19/2023,41.0,6.4,511.0,3566.0,Bank Transfer
U3206,11/15/2023,6.0,150.63,388.0,1934.0,Bank Transfer
U3144,8/19/2023,34.0,154.1,943.0,1068.0,PayPal
U1711,6/5/2023,18.0,282.0,403.0,1536.0,Bank Transfer
U413,6/29/2023,27.0,203.32,180.0,3.0,Credit Card
U1915,1/20/2023,4.0,410.65,266.0,1281.0,Crypto
U136,9/27/2023,42.0,264.28,310.0,4203.0,Credit Card
U1809,3/10/2023,12.0,117.2,871.0,4234.0,PayPal
U3132,5/18/2023,42.0,151.21,98.0,2133.0,Bank Transfer
U2093,8/25/2023,46.0,434.58,853.0,31.0,Bank Transfer
U1289,8/27/2023,32.0,53.38,848.0,3345.0,Crypto
U351,4/28/2023,26.0,70.75,389.0,2334.0,Crypto
U2884,9/21/2023,35.0,391.69,754.0,1203.0,Credit Card
U743,4/3/2023,15.0,370.89,811.0,164.0,Credit Card
U330,1/12/2023,32.0,253.48,995.0,2346.0,PayPal
U1303,5/16/2023,2.0,350.14,122.0,3615.0,Credit Card
U2089,1/15/2023,6.0,306.6,711.0,1002.0,Bank Transfer
U1417,3/7/2023,12.0,327.94,874.0,1928.0,Credit Card
U2982,2/7/2023,17.0,351.25,544.0,4501.0,Bank Transfer
U1843,9/9/2023,5.0,167.55,18.0,2293.0,Credit Card
U1178,6/14/2023,22.0,104.64,498.0,4598.0,Crypto
U650,1/9/2023,29.0,191.82,461.0,2262.0,PayPal
U2158,10/19/2023,11.0,111.28,927.0,1137.0,PayPal
U2114,1/16/2023,18.0,260.17,940.0,4027.0,Credit Card
U2827,4/13/2023,20.0,367.77,211.0,4396.0,Crypto
U28,9/15/2023,28.0,8.63,346.0,1856.0,Credit Card
U771,6/30/2023,10.0,51.32,502.0,3388.0,Credit Card
U2084,9/28/2023,14.0,120.91,534.0,3589.0,Crypto
U1103,6/15/2023,38.0,111.99,371.0,355.0,Crypto
U55,8/8/2023,8.0,273.39,940.0,1080.0,Crypto
U835,5/6/2023,38.0,317.08,466.0,576.0,PayPal
U3380,6/26/2023,31.0,403.08,413.0,2740.0,Crypto
U1243,1/17/2023,37.0,447.6,126.0,1427.0,Bank Transfer
U684,1/24/2023,42.0,462.14,876.0,1085.0,Crypto
U1868,8/18/2023,9.0,189.63,795.0,4961.0,Credit Card
U3271,1/7/2023,7.0,408.8,455.0,1351.0,Credit Card
U3178,5/3/2023,23.0,472.88,722.0,4857.0,PayPal
U1480,9/1/2023,41.0,223.17,938.0,3227.0,Bank Transfer
U1607,2/10/2023,39.0,251.04,496.0,3013.0,PayPal
U3193,3/20/2023,18.0,332.61,943.0,892.0,Crypto
U1032,2/24/2023,47.0,,176.0,1322.0,Credit Card
U2829,6/8/2023,28.0,261.3,771.0,1651.0,Bank Transfer
U637,7/14/2023,,282.24,745.0,1337.0,Crypto
U1637,7/21/2023,40.0,299.5,426.0,4639.0,Bank Transfer
U1653,1/7/2023,22.0,126.29,521.0,2169.0,PayPal
U3282,4/28/2023,0.0,308.85,936.0,3382.0,Crypto
U3049,3/11/2023,23.0,267.42,603.0,4292.0,Crypto
U1463,6/23/2023,34.0,270.67,45.0,3002.0,Credit Card
U3032,5/10/2023,48.0,400.56,281.0,3214.0,PayPal
U1510,2/26/2023,25.0,428.11,852.0,1555.0,Credit Card
U45,1/4/2023,33.0,359.82,173.0,1559.0,Credit Card
U3311,10/17/2023,45.0,259.77,666.0,4909.0,Credit Card
U3345,10/3/2023,43.0,256.6,513.0,283.0,Crypto
U3148,9/27/2023,24.0,297.59,157.0,1554.0,Crypto
U1174,7/4/2023,2.0,19.81,451.0,434.0,PayPal
U248,10/15/2023,26.0,290.16,616.0,4457.0,Crypto
U1339,6/7/2023,48.0,345.2,381.0,1955.0,Bank Transfer
U396,4/5/2023,14.0,370.61,775.0,2766.0,Credit Card
U1835,2/20/2023,20.0,496.64,317.0,811.0,Credit Card
U987,6/9/2023,10.0,470.21,686.0,4692.0,Credit Card
U1942,6/6/2023,16.0,118.39,987.0,4414.0,Bank Transfer
U3027,1/28/2023,16.0,79.4,263.0,2161.0,Crypto
U1242,2/5/2023,9.0,86.08,957.0,587.0,Bank Transfer
U762,1/8/2023,22.0,173.08,231.0,1274.0,Bank Transfer
U255,2/21/2023,47.0,340.26,55.0,3423.0,Credit Card
U123,7/17/2023,29.0,239.84,183.0,3410.0,Bank Transfer
U1978,10/3/2023,10.0,498.01,819.0,3989.0,PayPal
U901,1/8/2023,45.0,129.09,263.0,405.0,PayPal
U757,3/14/2023,7.0,238.17,879.0,365.0,Bank Transfer
U3156,10/25/2023,47.0,51.07,128.0,1856.0,Crypto
U523,1/18/2023,3.0,440.13,755.0,963.0,PayPal
U353,2/14/2023,37.0,237.58,391.0,2732.0,PayPal
U2016,2/25/2023,12.0,115.17,861.0,4870.0,Bank Transfer
U1136,2/28/2023,20.0,212.44,969.0,3377.0,Bank Transfer
U1287,7/28/2023,17.0,23.01,522.0,3283.0,Bank Transfer
U1799,3/29/2023,13.0,267.52,429.0,4424.0,PayPal
U2995,10/17/2023,21.0,397.95,57.0,614.0,PayPal
U1007,3/22/2023,11.0,69.51,797.0,4077.0,Credit Card
U1374,9/17/2023,15.0,214.82,772.0,4489.0,Bank Transfer
U891,4/9/2023,31.0,275.08,9.0,2017.0,Credit Card
U2178,9/8/2023,20.0,94.14,844.0,1278.0,Bank Transfer
U1152,8/17/2023,50.0,433.53,427.0,3126.0,Bank Transfer
U553,7/26/2023,10.0,428.62,641.0,946.0,Bank Transfer
U1803,3/28/2023,50.0,228.39,250.0,4237.0,PayPal
U1392,3/30/2023,10.0,215.13,893.0,2700.0,Crypto
U1655,1/5/2023,15.0,243.49,531.0,1827.0,Credit Card
U18,10/27/2023,47.0,466.43,135.0,3814.0,PayPal
U1326,3/14/2023,35.0,356.54,979.0,3705.0,PayPal
U1401,8/13/2023,12.0,25.24,900.0,3207.0,Credit Card
U1947,10/13/2023,20.0,318.05,996.0,454.0,PayPal
U1475,2/12/2023,36.0,185.77,657.0,1904.0,Credit Card
U1545,6/30/2023,3.0,150.97,336.0,3604.0,PayPal
U1393,10/28/2023,49.0,130.64,342.0,2189.0,Bank Transfer
U1063,3/10/2023,28.0,475.3,786.0,3937.0,Crypto
U639,6/16/2023,50.0,93.37,242.0,2852.0,Bank Transfer
U2154,9/17/2023,37.0,349.81,197.0,1449.0,Crypto
U1214,1/13/2023,8.0,307.11,996.0,1345.0,Credit Card
U1137,3/17/2023,50.0,130.57,18.0,3162.0,PayPal
U2814,3/29/2023,38.0,430.7,103.0,2970.0,Credit Card
U104,4/21/2023,8.0,202.57,734.0,3593.0,Crypto
U2082,2/27/2023,37.0,1.27,872.0,4339.0,Bank Transfer
U669,11/29/2023,32.0,234.69,138.0,2394.0,Crypto
U510,5/28/2023,42.0,279.53,405.0,2470.0,PayPal
U1849,10/22/2023,30.0,112.38,813.0,4321.0,Credit Card
U1650,5/23/2023,43.0,293.58,116.0,1643.0,Bank Transfer
U585,4/8/2023,16.0,292.05,824.0,1819.0,PayPal
U679,11/7/2023,6.0,333.74,377.0,563.0,PayPal
U524,7/24/2023,31.0,67.94,446.0,3153.0,PayPal
U1123,4/12/2023,35.0,473.57,937.0,2240.0,PayPal
U859,6/11/2023,2.0,339.44,167.0,1499.0,Credit Card
U527,6/22/2023,7.0,431.23,169.0,3270.0,PayPal
U3166,6/10/2023,10.0,375.33,719.0,864.0,Bank Transfer
U1730,6/5/2023,4.0,2.39,273.0,2398.0,PayPal
U749,1/19/2023,25.0,112.68,967.0,4666.0,Credit Card
U609,1/14/2023,32.0,184.53,51.0,4542.0,Credit Card
U2105,10/13/2023,18.0,150.28,99.0,3235.0,Bank Transfer
U1173,6/1/2023,38.0,407.96,958.0,3100.0,PayPal
U94,10/5/2023,50.0,354.84,434.0,4129.0,PayPal
