id,age,gender,country,sign_up_date,membership_level,last_login,total_purchases,total_time_spent,number_of_posts,likes_given,payment_method
U222,34.0,Male,UK,5/4/2016,Silver,1/28/2023,34.0,245.32,620.0,2176.0,PayPal
U1289,20.0,Female,India,12/2/2021,Free,8/27/2023,32.0,53.38,848.0,3345.0,Crypto
U179,30.0,Female,USA,4/2/2015,Silver,5/27/2023,50.0,333.83,677.0,532.0,PayPal
U892,47.0,Male,Germany,4/21/2021,Free,9/12/2023,49.0,169.44,997.0,3780.0,Bank Transfer
U1110,42.0,Male,Canada,2/16/2021,Silver,6/14/2023,1.0,128.36,342.0,1533.0,Crypto
U408,37.0,Female,Canada,10/28/2020,Gold,2/20/2023,38.0,381.51,296.0,2911.0,PayPal
U1120,57.0,Male,Canada,1/11/2017,Gold,8/10/2023,42.0,436.77,45.0,2059.0,Crypto
U567,58.0,Female,UK,4/17/2016,Silver,8/10/2023,2.0,247.02,978.0,4786.0,Bank Transfer
U740,60.0,Female,India,9/24/2017,Platinum,8/5/2023,9.0,197.67,134.0,2327.0,Crypto
U559,45.0,Male,Canada,7/26/2021,Free,9/21/2023,9.0,316.1,93.0,952.0,PayPal
U400,55.0,Female,Germany,1/17/2021,Silver,11/27/2023,48.0,350.37,192.0,4286.0,Bank Transfer
U75,63.0,Female,Germany,1/21/2015,Free,11/29/2023,21.0,419.5,449.0,1207.0,Bank Transfer
U1965,44.0,Female,Canada,9/20/2015,Silver,11/29/2023,3.0,272.68,174.0,3756.0,PayPal
U1188,65.0,Male,UK,9/5/2019,Platinum,4/22/2023,15.0,167.53,85.0,4832.0,Bank Transfer
U1273,45.0,Male,Canada,9/3/2020,Silver,9/14/2023,11.0,475.38,620.0,1704.0,Bank Transfer
U1186,50.0,Female,USA,3/19/2020,Platinum,1/7/2023,42.0,39.48,475.0,3615.0,PayPal
U1551,62.0,Male,India,4/7/2015,Free,9/19/2023,33.0,324.7,677.0,852.0,Crypto
U163,64.0,Female,Canada,5/10/2020,Platinum,7/11/2023,,351.27,833.0,4475.0,Crypto
U2056,61.0,Female,UK,11/20/2017,Silver,4/17/2023,39.0,371.65,129.0,3689.0,Credit Card
U1319,42.0,Female,Canada,3/25/2018,Free,1/21/2023,11.0,2.51,34.0,4873.0,Credit Card
U1638,46.0,Male,Germany,7/21/2017,Silver,7/24/2023,28.0,314.93,974.0,3516.0,Crypto
U976,41.0,Female,Germany,10/7/2022,Silver,9/12/2023,24.0,276.13,18.0,2445.0,PayPal
U972,49.0,Female,India,4/8/2017,Silver,8/5/2023,18.0,326.83,260.0,3586.0,Crypto
U767,45.0,Female,USA,2/22/2018,Gold,2/24/2023,3.0,70.69,606.0,3108.0,Bank Transfer
U2175,30.0,Female,UK,8/31/2018,Silver,7/27/2023,15.0,339.95,518.0,2505.0,Credit Card
U1317,30.0,Male,USA,3/10/2015,Free,8/4/2023,25.0,310.25,205.0,1399.0,Bank Transfer
U1943,42.0,Female,Canada,5/28/2022,Free,10/21/2023,32.0,403.02,287.0,1075.0,Bank Transfer
U931,23.0,Female,Germany,10/11/2016,Gold,3/10/2023,31.0,,807.0,2794.0,Credit Card
U74,23.0,Male,UK,10/23/2016,Gold,6/26/2023,19.0,70.75,858.0,1090.0,Crypto
U862,34.0,Male,Germany,5/27/2015,Platinum,5/9/2023,48.0,35.13,691.0,3177.0,Credit Card
U1524,42.0,Female,USA,8/12/2021,Platinum,11/15/2023,31.0,321.27,716.0,2731.0,Credit Card
U40,26.0,Female,UK,6/29/2015,Free,1/21/2023,27.0,109.75,821.0,1646.0,Bank Transfer
U1619,30.0,Male,India,5/19/2020,Gold,5/14/2023,26.0,53.89,908.0,1050.0,PayPal
U1224,40.0,Female,Canada,8/3/2016,Silver,4/18/2023,47.0,375.51,918.0,3497.0,Bank Transfer
U1265,70.0,Male,Canada,2/9/2022,Gold,3/29/2023,42.0,47.5,303.0,3154.0,Bank Transfer
U932,21.0,Male,Germany,2/24/2022,Gold,7/12/2023,3.0,38.38,513.0,2432.0,PayPal
U467,41.0,Female,Canada,1/10/2020,Gold,8/4/2023,43.0,176.37,487.0,878.0,PayPal
U1691,70.0,Male,UK,2/12/2017,Free,5/26/2023,29.0,60.64,573.0,346.0,Bank Transfer
U1485,59.0,Female,Canada,7/18/2022,Gold,6/20/2023,22.0,116.05,781.0,235.0,Bank Transfer
U626,31.0,Female,USA,12/11/2016,Gold,11/27/2023,47.0,341.51,326.0,4122.0,Credit Card
U1867,41.0,Female,Canada,4/30/2019,Platinum,8/29/2023,24.0,129.78,127.0,2981.0,PayPal
U1830,28.0,Female,India,10/31/2015,Gold,1/11/2023,3.0,37.73,336.0,2787.0,Credit Card
U1788,53.0,Male,India,5/13/2022,Free,2/19/2023,42.0,3.07,135.0,4671.0,PayPal
U2137,32.0,Male,India,4/13/2019,Silver,3/11/2023,12.0,431.9,744.0,4508.0,Bank Transfer
U1911,63.0,Male,Germany,5/16/2019,Platinum,1/3/2023,40.0,157.92,550.0,1140.0,Bank Transfer
U1611,37.0,Male,India,12/6/2020,Gold,10/30/2023,45.0,118.39,573.0,4607.0,Bank Transfer
U269,24.0,Male,India,6/5/2022,Gold,7/26/2023,33.0,19.96,339.0,1837.0,PayPal
U197,51.0,Female,UK,11/30/2019,Silver,3/2/2023,21.0,442.45,170.0,4429.0,Credit Card
U1483,20.0,Female,Germany,7/7/2018,Gold,2/10/2023,7.0,151.89,444.0,4333.0,Bank Transfer
U1448,51.0,Female,Canada,4/13/2017,Silver,1/15/2023,40.0,257.36,822.0,4560.0,Credit Card
U178,65.0,Female,India,10/13/2016,Platinum,8/10/2023,0.0,287.58,916.0,824.0,Credit Card
U1084,35.0,Male,Germany,5/28/2017,Gold,1/4/2023,5.0,70.43,572.0,942.0,PayPal
U415,20.0,Male,Germany,9/4/2019,Free,8/4/2023,18.0,84.52,743.0,2693.0,Bank Transfer
U665,25.0,Male,UK,2/28/2015,Platinum,7/21/2023,3.0,180.85,688.0,4664.0,Crypto
U673,20.0,Female,India,1/3/2022,Free,5/8/2023,31.0,187.28,509.0,2620.0,Credit Card
U911,65.0,,Germany,7/27/2016,Platinum,5/15/2023,2.0,390.31,472.0,1247.0,PayPal
U116,47.0,,Canada,2/25/2022,Free,6/28/2023,18.0,469.59,994.0,4043.0,Credit Card
U1481,48.0,Male,USA,10/8/2017,Free,7/3/2023,33.0,422.76,768.0,3135.0,PayPal
U1237,43.0,Female,UK,10/19/2015,Silver,9/16/2023,5.0,356.59,845.0,1701.0,PayPal
U1584,50.0,Male,UK,4/28/2019,Free,9/30/2023,29.0,85.05,733.0,1818.0,Bank Transfer
U1397,38.0,Female,India,8/1/2016,Platinum,11/27/2023,40.0,177.99,687.0,156.0,Credit Card
U1593,68.0,Male,UK,5/12/2020,Silver,6/5/2023,26.0,141.07,588.0,4790.0,Crypto
U644,47.0,Male,Canada,12/25/2017,Gold,2/11/2023,2.0,35.36,753.0,251.0,Bank Transfer
U2165,52.0,Male,UK,6/3/2017,Platinum,8/1/2023,6.0,244.27,641.0,1738.0,Credit Card
U1735,70.0,Female,Canada,9/14/2021,Silver,8/8/2023,38.0,321.56,583.0,4341.0,PayPal
U827,21.0,Female,UK,3/24/2022,Free,1/19/2023,9.0,277.89,840.0,1668.0,Bank Transfer
U463,26.0,Male,Canada,11/30/2018,Gold,3/22/2023,13.0,362.81,650.0,1896.0,Credit Card
U1337,32.0,Male,Canada,1/16/2017,Free,7/15/2023,11.0,260.05,138.0,3124.0,Crypto
U1875,63.0,Male,Germany,12/17/2015,Silver,6/20/2023,32.0,67.06,812.0,3154.0,Bank Transfer
U1655,23.0,Male,USA,10/20/2018,Free,1/5/2023,15.0,243.49,531.0,1827.0,Credit Card
U1869,34.0,Male,Germany,3/13/2015,Silver,10/10/2023,23.0,405.76,217.0,3125.0,Bank Transfer
U929,63.0,Male,UK,11/6/2019,Free,3/15/2023,17.0,148.85,625.0,2307.0,Credit Card
U248,46.0,Male,India,3/28/2019,Platinum,10/15/2023,26.0,290.16,616.0,4457.0,Crypto
U1255,52.0,Female,UK,10/28/2022,Gold,3/10/2023,6.0,444.34,734.0,1596.0,Bank Transfer
U531,25.0,Female,Germany,9/16/2019,Gold,3/8/2023,19.0,305.38,793.0,1777.0,Credit Card
U1710,31.0,Female,Germany,9/2/2015,Silver,6/24/2023,47.0,93.72,302.0,3104.0,PayPal
U803,55.0,Female,UK,9/24/2019,Silver,5/30/2023,25.0,454.72,122.0,2355.0,Crypto
U848,56.0,Female,Canada,6/23/2018,Gold,4/26/2023,1.0,476.04,399.0,2639.0,Crypto
U1407,53.0,Female,India,10/7/2020,Platinum,5/27/2023,45.0,68.69,22.0,2227.0,Bank Transfer
U1066,50.0,Female,USA,4/13/2017,Free,1/22/2023,40.0,307.45,165.0,2854.0,Crypto
U190,46.0,Male,Germany,12/24/2018,Free,7/8/2023,50.0,298.71,154.0,4901.0,PayPal
U1447,39.0,Female,India,3/13/2022,Gold,6/4/2023,43.0,118.39,258.0,804.0,Credit Card
U1822,40.0,Male,UK,3/15/2020,Silver,7/2/2023,38.0,392.71,588.0,19.0,PayPal
U2000,23.0,Male,Canada,10/3/2020,Platinum,5/20/2023,44.0,408.45,75.0,4105.0,PayPal
U947,31.0,Male,Canada,2/8/2021,Gold,2/23/2023,0.0,487.36,930.0,827.0,Crypto
U113,33.0,Male,India,8/30/2022,Free,10/13/2023,39.0,410.12,461.0,83.0,PayPal
U1433,28.0,Female,Germany,10/4/2015,Gold,10/16/2023,50.0,290.03,349.0,285.0,Crypto
U1860,58.0,Female,USA,7/24/2015,Silver,7/4/2023,0.0,278.52,750.0,1839.0,Bank Transfer
U414,25.0,Male,Germany,10/30/2022,Free,5/10/2023,5.0,307.78,94.0,2239.0,Credit Card
U1632,60.0,Male,UK,12/21/2016,Free,8/9/2023,18.0,484.2,379.0,3228.0,Bank Transfer
U1062,57.0,Male,Germany,8/20/2015,Free,11/18/2023,36.0,194.78,895.0,1229.0,Credit Card
U1658,55.0,Male,Germany,1/19/2022,Platinum,7/2/2023,5.0,312.59,357.0,4540.0,Bank Transfer
U71,49.0,Male,India,3/23/2015,Silver,6/22/2023,35.0,212.9,759.0,1638.0,PayPal
U586,59.0,Male,USA,2/28/2020,Platinum,9/16/2023,5.0,166.96,1.0,2135.0,Crypto
U1387,37.0,Male,UK,6/22/2016,Free,10/5/2023,36.0,455.27,460.0,601.0,PayPal
U389,25.0,Female,USA,6/1/2016,Free,11/23/2023,18.0,320.81,908.0,3438.0,Crypto
U1426,24.0,,Germany,2/28/2016,Silver,5/16/2023,37.0,383.63,781.0,1265.0,PayPal
U16,37.0,Male,India,1/4/2020,Free,3/16/2023,0.0,235.27,554.0,4623.0,Credit Card
U1261,52.0,Male,USA,2/19/2020,Gold,5/11/2023,34.0,313.68,489.0,987.0,Crypto
U1961,40.0,Female,Germany,8/18/2020,Free,4/23/2023,11.0,351.27,793.0,4230.0,PayPal
U446,44.0,Male,Canada,1/15/2017,Free,10/2/2023,41.0,390.61,274.0,3861.0,Credit Card
U1064,19.0,Male,India,2/11/2015,Platinum,8/17/2023,48.0,101.1,110.0,3789.0,Crypto
U1453,66.0,Female,Canada,11/4/2020,Gold,7/19/2023,1.0,124.91,44.0,2098.0,Bank Transfer
U1958,65.0,Female,UK,2/14/2015,Platinum,11/6/2023,26.0,288.27,613.0,1807.0,Bank Transfer
U878,37.0,Female,UK,4/24/2019,Silver,2/2/2023,11.0,46.53,381.0,3932.0,Bank Transfer
U811,70.0,Female,USA,11/11/2018,Platinum,8/6/2023,14.0,122.24,97.0,3209.0,Bank Transfer
U454,46.0,Male,India,8/29/2020,Free,10/8/2023,27.0,263.53,546.0,4314.0,Crypto
U1748,39.0,Male,Canada,7/25/2016,Platinum,1/29/2023,27.0,264.54,24.0,2492.0,Bank Transfer
U703,45.0,Female,USA,12/1/2018,Free,1/28/2023,24.0,397.5,155.0,4850.0,Credit Card
U853,48.0,Female,UK,1/6/2019,Gold,9/5/2023,4.0,269.92,754.0,4151.0,PayPal
U329,55.0,Male,USA,9/15/2016,Platinum,3/25/2023,8.0,289.14,555.0,785.0,Bank Transfer
U17,60.0,Male,Canada,7/2/2020,Silver,8/4/2023,15.0,307.7,962.0,2294.0,Crypto
U1823,39.0,Male,India,6/21/2021,Platinum,11/11/2023,33.0,126.59,13.0,294.0,Bank Transfer
U2031,66.0,Female,UK,6/11/2022,Gold,7/25/2023,30.0,163.17,429.0,3644.0,Credit Card
U1843,40.0,Male,Canada,6/14/2015,Gold,9/9/2023,5.0,167.55,18.0,2293.0,Credit Card
U1684,41.0,Male,UK,11/24/2016,Platinum,11/26/2023,33.0,266.92,310.0,1848.0,Credit Card
U879,55.0,Male,UK,1/14/2019,Free,5/8/2023,30.0,207.24,930.0,3402.0,Credit Card
U2164,55.0,Male,Canada,6/14/2021,Gold,6/5/2023,29.0,45.5,30.0,2785.0,Bank Transfer
U257,64.0,Female,India,11/27/2018,Platinum,7/24/2023,44.0,14.98,309.0,1235.0,PayPal
U812,28.0,,Canada,7/27/2017,Gold,7/11/2023,45.0,431.58,866.0,807.0,Crypto
U1801,45.0,Male,India,12/31/2017,Free,10/7/2023,43.0,445.35,264.0,455.0,Crypto
U1887,18.0,Female,Canada,6/28/2017,Silver,9/2/2023,45.0,41.14,480.0,1387.0,PayPal
U487,32.0,Male,India,10/12/2019,Gold,4/1/2023,18.0,426.43,588.0,2602.0,PayPal
U2131,64.0,Female,USA,7/13/2016,Gold,7/12/2023,5.0,206.23,501.0,111.0,Bank Transfer
U548,22.0,Male,Germany,9/22/2019,Silver,9/13/2023,12.0,317.22,130.0,4900.0,Credit Card
U312,58.0,Male,Canada,5/12/2018,Platinum,11/2/2023,49.0,421.95,943.0,4018.0,Credit Card
U1258,55.0,Male,India,10/14/2018,Silver,10/4/2023,15.0,35.91,28.0,960.0,PayPal
U1401,32.0,Female,India,9/28/2016,Platinum,8/13/2023,12.0,25.24,900.0,3207.0,Credit Card
U758,52.0,Female,India,12/27/2019,Silver,6/2/2023,23.0,494.24,817.0,3401.0,PayPal
U354,62.0,Male,Canada,8/11/2022,Gold,1/10/2023,1.0,488.89,654.0,1128.0,Credit Card
U571,26.0,Male,Canada,6/21/2016,Silver,7/26/2023,6.0,23.46,0.0,3359.0,Credit Card
U343,50.0,Female,India,11/5/2017,Platinum,8/30/2023,34.0,492.58,590.0,4893.0,Bank Transfer
U1398,19.0,Female,Germany,5/21/2022,Free,8/13/2023,25.0,340.06,688.0,4196.0,Bank Transfer
U1601,62.0,Male,UK,12/24/2019,Platinum,11/28/2023,18.0,341.39,734.0,3006.0,PayPal
U1069,53.0,Female,Canada,9/2/2017,Silver,3/27/2023,31.0,130.77,812.0,17.0,Credit Card
U1011,66.0,Female,USA,3/3/2017,Free,2/11/2023,16.0,78.93,780.0,1929.0,Credit Card
U809,39.0,Female,India,8/22/2019,Platinum,7/31/2023,50.0,136.44,201.0,2992.0,Bank Transfer
U1898,36.0,Male,USA,10/26/2019,Silver,5/7/2023,5.0,70.19,961.0,633.0,Crypto
U503,49.0,Male,India,1/16/2019,Platinum,4/16/2023,40.0,229.86,173.0,3163.0,Crypto
U371,49.0,Female,India,1/9/2017,Platinum,3/4/2023,40.0,225.96,998.0,105.0,Bank Transfer
U1972,28.0,Female,USA,10/15/2022,Gold,5/20/2023,44.0,258.33,882.0,863.0,Crypto
U1409,58.0,,UK,7/31/2018,Free,6/15/2023,15.0,441.17,778.0,2532.0,Bank Transfer
U1971,58.0,Male,India,3/25/2020,Free,1/15/2023,5.0,40.89,880.0,1219.0,Credit Card
U1762,60.0,Female,USA,8/20/2019,Silver,4/23/2023,40.0,419.9,916.0,4311.0,PayPal
U850,61.0,Female,Germany,10/24/2019,Gold,6/22/2023,44.0,266.93,847.0,1273.0,Bank Transfer
U1629,40.0,Male,USA,7/26/2015,Gold,2/12/2023,28.0,466.19,451.0,2064.0,Bank Transfer
U117,28.0,Female,USA,3/2/2021,Free,5/16/2023,16.0,105.93,806.0,3702.0,PayPal
U280,33.0,Male,UK,7/24/2022,Free,11/9/2023,23.0,393.31,590.0,3490.0,Bank Transfer
U761,44.0,Female,USA,12/9/2016,Platinum,9/4/2023,22.0,71.28,551.0,3595.0,PayPal
U1434,51.0,Female,UK,12/7/2021,Platinum,1/19/2023,10.0,130.81,385.0,2496.0,Bank Transfer
U1824,57.0,Female,Canada,6/7/2020,Free,2/25/2023,14.0,467.13,659.0,2279.0,Bank Transfer
U1156,18.0,Female,USA,3/27/2015,Gold,3/3/2023,10.0,162.76,5.0,50.0,Credit Card
U2005,60.0,Female,Germany,1/26/2015,Platinum,11/24/2023,45.0,300.42,643.0,980.0,Bank Transfer
U708,45.0,Female,Germany,8/28/2022,Platinum,5/28/2023,48.0,140.37,569.0,1890.0,Credit Card
U1059,63.0,Female,USA,11/9/2019,Silver,1/4/2023,50.0,257.88,623.0,997.0,Credit Card
U530,43.0,Female,Germany,9/19/2018,Free,9/23/2023,30.0,155.48,959.0,3264.0,PayPal
U562,58.0,Female,Canada,10/8/2015,Silver,4/9/2023,43.0,400.45,853.0,2825.0,Bank Transfer
U687,42.0,Female,UK,3/1/2016,Free,7/19/2023,47.0,260.3,639.0,970.0,Credit Card
U102,69.0,Male,India,11/3/2021,Silver,2/21/2023,33.0,168.77,664.0,4538.0,Bank Transfer
U1901,46.0,Female,Germany,5/1/2022,Free,2/28/2023,25.0,240.59,561.0,204.0,Credit Card
U1909,27.0,Male,Canada,4/28/2021,Gold,4/6/2023,36.0,322.48,242.0,1651.0,Credit Card
U107,46.0,Female,Canada,4/28/2018,Platinum,4/21/2023,27.0,217.52,919.0,1875.0,PayPal
U845,33.0,Female,India,12/25/2017,Free,11/9/2023,21.0,470.48,234.0,1702.0,Credit Card
U1045,24.0,Female,Germany,1/23/2019,Gold,2/3/2023,20.0,295.57,212.0,2979.0,Crypto
U841,49.0,Female,USA,3/19/2019,Platinum,11/12/2023,30.0,437.7,811.0,1487.0,Credit Card
U259,69.0,Male,India,5/2/2022,Gold,6/22/2023,29.0,286.34,460.0,4889.0,Crypto
U889,63.0,Male,Germany,1/15/2015,Free,1/23/2023,26.0,207.23,980.0,2965.0,Crypto
U721,33.0,,USA,10/4/2015,Free,7/15/2023,44.0,138.69,445.0,2180.0,Credit Card
U1892,50.0,Female,UK,10/29/2022,Free,1/17/2023,25.0,87.92,223.0,2544.0,PayPal
U762,57.0,Male,India,10/28/2017,Free,1/8/2023,22.0,173.08,231.0,1274.0,Bank Transfer
U1752,46.0,Male,India,11/4/2015,Platinum,10/18/2023,10.0,421.51,4.0,4215.0,Crypto
U500,31.0,Female,Germany,3/27/2016,Free,2/25/2023,47.0,130.48,638.0,1546.0,Crypto
U1174,35.0,Female,India,10/23/2019,Gold,7/4/2023,2.0,19.81,451.0,434.0,PayPal
U106,61.0,Male,Germany,9/6/2019,Gold,4/18/2023,6.0,254.44,758.0,3850.0,PayPal
U1090,41.0,Male,Canada,5/2/2018,Platinum,4/9/2023,27.0,237.58,469.0,3989.0,Credit Card
U583,66.0,Female,Canada,12/27/2018,Silver,4/10/2023,22.0,277.39,900.0,231.0,Crypto
U1439,39.0,Male,India,12/1/2022,Platinum,,7.0,126.44,519.0,591.0,Credit Card
U561,48.0,Female,India,6/7/2020,Platinum,3/15/2023,4.0,59.75,882.0,1891.0,Crypto
U1157,55.0,Female,India,10/2/2022,Gold,9/14/2023,48.0,427.49,276.0,711.0,Credit Card
U2001,64.0,,USA,9/19/2021,Platinum,7/14/2023,18.0,258.3,54.0,419.0,Crypto
U357,65.0,Male,India,4/18/2015,Silver,1/6/2023,20.0,447.47,870.0,2926.0,PayPal
U752,49.0,Female,UK,8/18/2022,Platinum,11/3/2023,0.0,490.95,160.0,4476.0,Crypto
U860,33.0,,India,11/9/2022,Free,10/6/2023,27.0,263.49,195.0,2634.0,Credit Card
U492,33.0,Female,Canada,4/23/2018,Platinum,10/31/2023,23.0,332.71,549.0,4361.0,Bank Transfer
U1042,34.0,Male,India,3/6/2015,Platinum,5/3/2023,22.0,254.38,513.0,1839.0,Bank Transfer
U1954,46.0,Female,Germany,5/12/2019,Silver,2/25/2023,14.0,318.0,574.0,4540.0,Credit Card
U593,64.0,Male,Canada,9/29/2020,Gold,7/10/2023,14.0,494.98,461.0,2559.0,Bank Transfer
U1354,19.0,Female,Germany,2/28/2022,Platinum,1/22/2023,42.0,403.53,413.0,67.0,Credit Card
U519,18.0,Male,India,12/29/2020,Silver,11/30/2023,15.0,273.61,956.0,3395.0,PayPal
U2126,48.0,Female,India,12/26/2021,Gold,9/12/2023,32.0,7.01,377.0,218.0,Crypto
U549,68.0,Male,India,3/27/2018,Silver,5/13/2023,30.0,226.86,682.0,2662.0,Credit Card
U1160,31.0,Male,Canada,9/13/2015,Gold,5/18/2023,31.0,235.95,395.0,462.0,Bank Transfer
U464,55.0,Female,Germany,2/7/2018,Platinum,5/16/2023,34.0,206.75,102.0,3234.0,PayPal
U1870,19.0,Male,Canada,1/28/2016,Silver,3/1/2023,25.0,289.16,535.0,3618.0,Credit Card
U407,36.0,Female,Canada,9/13/2021,Silver,1/1/2023,7.0,45.33,407.0,2529.0,PayPal
U805,56.0,Male,Germany,12/3/2022,Platinum,1/28/2023,48.0,285.33,864.0,1062.0,PayPal
U1920,39.0,Female,India,1/20/2017,Platinum,7/27/2023,25.0,125.93,197.0,4345.0,Bank Transfer
U1516,62.0,Male,Canada,9/5/2018,Free,1/30/2023,13.0,471.72,504.0,1964.0,Bank Transfer
U2199,65.0,Female,Germany,1/6/2015,Free,10/31/2023,46.0,324.24,307.0,1056.0,Credit Card
U1369,21.0,Male,Canada,2/5/2020,Free,10/13/2023,17.0,271.49,371.0,3238.0,Bank Transfer
U901,39.0,,Canada,7/23/2017,Platinum,1/8/2023,45.0,129.09,263.0,405.0,PayPal
U352,47.0,Female,UK,7/10/2018,Free,7/20/2023,38.0,13.39,119.0,1638.0,Credit Card
U402,65.0,Female,Germany,1/25/2016,Gold,1/4/2023,43.0,106.52,125.0,876.0,PayPal
U1283,18.0,Male,India,6/24/2021,Platinum,9/27/2023,39.0,119.68,958.0,3234.0,Bank Transfer
U1266,31.0,Male,Germany,11/5/2018,Silver,8/18/2023,49.0,232.79,355.0,3984.0,Credit Card
U258,19.0,Male,UK,10/26/2022,Silver,5/21/2023,4.0,154.83,722.0,1887.0,Bank Transfer
U1915,65.0,Male,Germany,12/30/2022,Free,1/20/2023,4.0,410.65,266.0,1281.0,Crypto
U542,20.0,Female,Germany,3/29/2022,Platinum,9/13/2023,23.0,395.64,521.0,2930.0,Credit Card
U1268,66.0,Female,Canada,10/13/2018,Platinum,11/29/2023,27.0,23.97,326.0,3504.0,Credit Card
U1316,56.0,Male,USA,10/4/2019,Platinum,3/5/2023,49.0,403.31,760.0,1115.0,Credit Card
U877,69.0,Female,USA,4/16/2019,Silver,6/21/2023,15.0,269.73,52.0,2839.0,Credit Card
U2162,66.0,Female,India,12/2/2022,Free,3/10/2023,18.0,177.94,952.0,3272.0,Bank Transfer
U2002,58.0,,USA,10/3/2018,Free,3/3/2023,32.0,225.34,249.0,502.0,Crypto
U1848,43.0,Female,USA,7/30/2017,Free,3/29/2023,14.0,27.95,939.0,519.0,PayPal
U391,39.0,Female,USA,2/17/2015,Gold,11/4/2023,8.0,12.94,416.0,127.0,Crypto
U1583,64.0,Female,UK,7/2/2021,Gold,6/2/2023,44.0,274.22,692.0,71.0,Credit Card
U180,69.0,Female,Canada,4/22/2022,Platinum,8/2/2023,50.0,114.57,505.0,1939.0,PayPal
U922,62.0,Male,Germany,4/19/2020,Platinum,9/18/2023,2.0,402.84,674.0,2330.0,Credit Card
U1136,39.0,Female,India,5/20/2021,Gold,2/28/2023,20.0,212.44,969.0,3377.0,Bank Transfer
U1037,30.0,Male,Canada,11/25/2021,Platinum,3/26/2023,5.0,14.89,87.0,1685.0,Crypto
U1294,24.0,Female,USA,7/5/2020,Gold,2/20/2023,3.0,111.09,391.0,1160.0,PayPal
U1542,37.0,Female,Germany,6/14/2021,Free,6/5/2023,1.0,399.21,220.0,3596.0,Bank Transfer
U726,21.0,Male,Canada,9/1/2015,Gold,10/11/2023,34.0,326.82,275.0,2428.0,PayPal
U2017,47.0,Female,India,7/13/2019,Silver,6/22/2023,8.0,31.35,355.0,2884.0,PayPal
U1938,57.0,Male,USA,11/28/2015,Free,11/25/2023,18.0,402.06,805.0,4544.0,Bank Transfer
U729,26.0,Female,Canada,3/12/2017,Gold,4/9/2023,28.0,252.37,575.0,1150.0,Bank Transfer
U412,50.0,Female,India,8/5/2021,Silver,7/6/2023,25.0,205.92,727.0,2492.0,Bank Transfer
U239,65.0,Female,India,1/2/2016,Platinum,10/7/2023,13.0,259.71,620.0,4773.0,PayPal
U607,34.0,Male,UK,10/6/2017,Gold,7/30/2023,40.0,141.35,141.0,2368.0,PayPal
U2080,37.0,Female,Germany,10/20/2020,Gold,11/17/2023,6.0,108.47,338.0,3382.0,Bank Transfer
U2191,47.0,Female,Canada,11/21/2020,Free,1/28/2023,20.0,276.07,404.0,213.0,PayPal
U20,62.0,Female,USA,3/20/2017,Free,8/10/2023,45.0,121.12,635.0,4957.0,Crypto
U406,30.0,Female,India,6/11/2022,Silver,5/22/2023,15.0,339.23,316.0,42.0,PayPal
U1402,24.0,Male,India,3/30/2021,Gold,7/18/2023,38.0,101.86,294.0,3920.0,Credit Card
U1322,33.0,Male,Canada,7/18/2015,Silver,5/2/2023,28.0,472.27,247.0,2267.0,Credit Card
U601,56.0,Female,UK,6/13/2018,Gold,2/1/2023,32.0,390.73,805.0,2982.0,PayPal
U936,62.0,Female,Canada,12/4/2018,Silver,5/5/2023,6.0,12.21,508.0,3215.0,Crypto
U1514,20.0,Female,Canada,9/1/2018,Platinum,6/15/2023,10.0,248.42,615.0,4556.0,PayPal
U440,45.0,Male,USA,2/23/2017,Platinum,5/30/2023,21.0,247.38,965.0,2458.0,PayPal
U51,58.0,Female,India,3/30/2017,Free,8/17/2023,37.0,468.33,939.0,3947.0,Bank Transfer
U1243,22.0,Male,USA,4/22/2015,Gold,1/17/2023,37.0,447.6,126.0,1427.0,Bank Transfer
U234,62.0,Female,USA,3/28/2022,Silver,4/17/2023,50.0,271.96,229.0,394.0,Credit Card
U1373,63.0,Female,Canada,11/11/2015,Free,6/15/2023,50.0,365.23,758.0,855.0,Crypto
U1699,63.0,Male,Canada,1/9/2015,Gold,10/31/2023,30.0,276.4,427.0,1977.0,Credit Card
U1326,60.0,Female,Germany,7/15/2015,Platinum,3/14/2023,35.0,356.54,979.0,3705.0,PayPal
U1171,50.0,Female,Canada,11/14/2017,Gold,10/4/2023,0.0,10.39,340.0,1698.0,Crypto
U1404,36.0,Female,Germany,8/21/2016,Gold,11/7/2023,13.0,18.29,441.0,4073.0,PayPal
U1124,58.0,Female,India,7/31/2018,Gold,5/6/2023,46.0,491.73,379.0,3902.0,Bank Transfer
U1480,41.0,Female,USA,10/22/2021,Platinum,9/1/2023,41.0,223.17,938.0,3227.0,Bank Transfer
U574,66.0,Male,Germany,10/31/2021,Gold,6/15/2023,2.0,348.66,768.0,305.0,Credit Card
U1106,52.0,Female,Germany,12/14/2017,Free,8/31/2023,43.0,255.68,84.0,2837.0,Bank Transfer
U510,63.0,Male,Canada,6/27/2018,Silver,5/28/2023,42.0,279.53,405.0,2470.0,PayPal
U168,63.0,Male,India,5/7/2022,Silver,10/5/2023,18.0,343.54,823.0,3300.0,Credit Card
U587,19.0,Female,India,4/29/2020,Gold,1/2/2023,12.0,335.28,315.0,1579.0,PayPal
U445,39.0,Female,USA,9/27/2018,Platinum,7/30/2023,31.0,467.85,855.0,2336.0,Crypto
